Objects
100
,,Global Angle phil_robot:phil_robot,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
360,0,-0.0167225,-0.0526223,2.66588,517.43,909.289,286.556
361,0,-0.0167146,-0.0524333,2.66584,517.428,909.257,286.564
362,0,-0.0166327,-0.052485,2.666,517.421,909.238,286.558
363,0,-0.0166911,-0.0524314,2.66582,517.431,909.305,286.544
364,0,-0.0166027,-0.0523094,2.66586,517.438,909.278,286.557
365,0,-0.0166159,-0.0522442,2.66583,517.419,909.232,286.554
366,0,-0.0166343,-0.0523647,2.66586,517.42,909.277,286.549
367,0,-0.0167966,-0.0525369,2.66593,517.437,909.275,286.575
368,0,-0.0165861,-0.0524379,2.66591,517.423,909.236,286.551
369,0,-0.0167437,-0.0523956,2.66586,517.415,909.277,286.531
370,0,-0.0167734,-0.0526129,2.66588,517.431,909.292,286.565
371,0,-0.0166129,-0.0523638,2.66592,517.429,909.244,286.557
372,0,-0.0167019,-0.0527897,2.66593,517.409,909.27,286.549
373,0,-0.0166706,-0.0522764,2.66593,517.426,909.268,286.558
374,0,-0.0167337,-0.0525533,2.66596,517.444,909.259,286.552
375,0,-0.0166744,-0.0523378,2.66585,517.421,909.27,286.54
376,0,-0.0167122,-0.0525133,2.66591,517.417,909.247,286.563
377,0,-0.0167688,-0.0525834,2.66589,517.441,909.265,286.564
378,0,-0.0167114,-0.0523875,2.66584,517.43,909.294,286.529
379,0,-0.0167664,-0.0522017,2.66587,517.413,909.251,286.546
380,0,-0.0167586,-0.0524656,2.66593,517.431,909.268,286.574
381,0,-0.0167639,-0.0524929,2.6659,517.437,909.295,286.556
382,0,-0.0166704,-0.052423,2.6659,517.414,909.243,286.549
383,0,-0.0166045,-0.0524953,2.66586,517.427,909.249,286.566
384,0,-0.0167062,-0.0523688,2.6659,517.439,909.308,286.545
385,0,-0.0167828,-0.0524408,2.66587,517.418,909.261,286.541
