left_ticks,right_ticks,time_s,time_ns
15581,13219,1521301141,941675192
15668,13495,1521301141,965702959
15668,13495,1521301141,993706034
15668,13495,1521301142,17777158
15736,13706,1521301142,41704152
15736,13706,1521301142,65710310
15803,13917,1521301142,89700522
15803,13917,1521301142,113699791
15803,13917,1521301142,137724180
15871,14124,1521301142,161715108
15894,14195,1521301142,185721448
15894,14195,1521301142,213696684
15963,14405,1521301142,237698035
15963,14405,1521301142,265706734
16031,14615,1521301142,289711358
16031,14615,1521301142,317715375
16031,14615,1521301142,341681962
16099,14827,1521301142,365692143
16099,14827,1521301142,393670680
16167,15038,1521301142,413714092
16167,15038,1521301142,437698360
16167,15038,1521301142,461701353
16232,15247,1521301142,485714369
16232,15247,1521301142,509702392
16296,15455,1521301142,537721856
16296,15455,1521301142,561715355
16364,15671,1521301142,585705053
16364,15671,1521301142,609709271
16364,15671,1521301142,633713218
16427,15877,1521301142,661713871
16427,15877,1521301142,693731237
16494,16083,1521301142,721707421
16494,16083,1521301142,749713139
16559,16293,1521301142,773724467
16559,16293,1521301142,801710101
16624,16504,1521301142,825703062
16645,16573,1521301142,853700923
16645,16573,1521301142,877678590
16645,16573,1521301142,901710732
16711,16782,1521301142,925711137
16711,16782,1521301142,949713349
16775,16991,1521301142,973700295
16775,16991,1521301142,997713945
16838,17200,1521301143,25706442
16859,17273,1521301143,49704304
16859,17273,1521301143,73682668
16859,17273,1521301143,97713644
16924,17484,1521301143,121701253
16924,17484,1521301143,145698591
16988,17694,1521301143,169696133
17011,17763,1521301143,197701880
17011,17763,1521301143,221776156
17075,17972,1521301143,245709350
17098,18042,1521301143,269709137
17098,18042,1521301143,293712408
17098,18042,1521301143,313740455
17162,18255,1521301143,337712310
17183,18324,1521301143,361713974
17183,18324,1521301143,385741491
17245,18531,1521301143,409754371
17265,18599,1521301143,433708934
17265,18599,1521301143,457754879
17265,18599,1521301143,481725776
17329,18811,1521301143,505679213
17329,18811,1521301143,529707237
